Short name,Num LSTM layers,Length of input sequences,Hidden size of each LSTM layer,A100 Total time 1k runs (s),A100 Average time (s),Groq Total time 1k runs (s),Groq Average time (s),Groq Speedup
l1s128h64,1,128,64,0.746012,0.000746012,0.06801618193,6.80E-05,10.96815462
l4s128h256,4,128,256,5.77095,0.00577095,0.2711390259,0.0002711390259,21.28409948
l3s64h64,3,64,64,1.08874,0.00108874,0.08434250299,8.43E-05,12.90855691
l4s256h300,4,256,300,16.0921,0.0160921,#N/A,#N/A,#N/A
l2s200h256,2,200,256,4.33196,0.00433196,#N/A,#N/A,#N/A
l3s200h32,3,200,32,2.8897,0.0028897,0.2648924768,0.0002648924768,10.90895459
l2s64h64,2,64,64,0.738225,0.000738225,#N/A,#N/A,#N/A
l4s128h64,4,128,64,2.60778,0.00260778,0.228336795,0.000228336795,11.42076116
l1s128h128,1,128,128,0.904381,0.000904381,0.07372933999,7.37E-05,12.26622943
l1s128h100,1,128,100,0.911337,0.000911337,0.07155236718,7.16E-05,12.73664361
